INCIDENT_DATE,INCIDENT_NUMBER,LOCATION_DISTRICT,OFFENSE_CODE,OFFENSE_DESCRIPTION,WEAPON_TYPE,INCIDENT_LOCATION,CITY,STATE,ZIP,LATITUDE,LONGITUDE,Location 1
12/20/2021 05:03:00 PM,2021-155184,54.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,BLUNT OBJECT,3014 ADAMS ST,LITTLE ROCK,AR,72204,34.723004,-92.325389,"(34.723004, -92.325389)"
12/19/2021 11:47:00 PM,2021-154862,63.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,3600 JOHN BARROW RD,LITTLE ROCK,AR,72205,34.744435,-92.381358,"(34.744435, -92.381358)"
12/19/2021 11:47:00 PM,2021-154862,63.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,3600 JOHN BARROW RD,LITTLE ROCK,AR,72205,34.744435,-92.381358,"(34.744435, -92.381358)"
12/13/2021 06:15:00 PM,2021-152160,55.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,1102 S WOODROW ST,LITTLE ROCK,AR,72204,34.740616,-92.305986,"(34.740616, -92.305986)"
12/10/2021 04:42:00 PM,2021-150879,83.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,3412 PINE CONE DR,LITTLE ROCK,AR,72209,34.662381,-92.31774,"(34.662381, -92.31774)"
11/21/2021 12:04:00 AM,2021-142797,93.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,4700 S UNIVERSITY AVE,LITTLE ROCK,AR,72204,34.708342,-92.344977,"(34.708342, -92.344977)"
11/18/2021 04:02:00 PM,2021-141828,41.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,KNIFE/CUTTING INSTRUMENT,3000  SPRINGER BLVD,LITTLE ROCK,AR,72206,34.719576,-92.259415,"(34.719576, -92.259415)"
11/16/2021 08:46:00 PM,2021-141059,83.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,10015  REPUBLIC LN,LITTLE ROCK,AR,72209,34.658174,-92.341322,"(34.658174, -92.341322)"
11/16/2021 03:44:00 PM,2021-140933,82.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,5500 DREHER LN,LITTLE ROCK,AR,72209,34.675425,-92.338969,"(34.675425, -92.338969)"
11/06/2021 01:53:00 PM,2021-136669,55.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,3404 W 10TH ST,LITTLE ROCK,AR,72205,34.742221,-92.311281,"(34.742221, -92.311281)"
10/26/2021 10:04:00 PM,2021-132261,80.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,5103 ASHER AVE,LITTLE ROCK,AR,72204,34.72055,-92.330585,"(34.72055, -92.330585)"
10/10/2021 04:59:00 PM,2021-124765,83.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,9101 AUXOR RD,LITTLE ROCK,AR,72206,34.666645,-92.31464,"(34.666645, -92.31464)"
10/05/2021 05:06:00 PM,2021-122427,93.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,3600 JOHN BARROW RD,LITTLE ROCK,AR,72204,34.720743,-92.373021,"(34.720743, -92.373021)"
09/21/2021 11:37:00 AM,2021-115812,52.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,1222 W 33RD ST,LITTLE ROCK,AR,72206,34.716774,-92.28922,"(34.716774, -92.28922)"
09/15/2021 03:24:00 PM,2021-113137,63.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,1801 NICHOLS RD,LITTLE ROCK,AR,72205,34.737288,-92.38663,"(34.737288, -92.38663)"
09/15/2021 03:24:00 PM,2021-113137,63.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,1801 NICHOLS RD,LITTLE ROCK,AR,72205,34.737288,-92.38663,"(34.737288, -92.38663)"
09/14/2021 01:06:00 AM,2021-112454,61.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,1922 MICHAEL DR,LITTLE ROCK,AR,72205,34.740287,-92.372303,"(34.740287, -92.372303)"
09/13/2021 03:20:00 PM,2021-112238,50.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,2100 REBSAMEN PARK RD,LITTLE ROCK,AR,72202,34.769604,-92.313155,"(34.769604, -92.313155)"
09/06/2021 08:21:00 PM,2021-109031,61.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,6310 COLONEL GLENN RD,LITTLE ROCK,AR,72204,34.718758,-92.345399,"(34.718758, -92.345399)"
09/03/2021 11:33:00 PM,2021-107832,54.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,RIFLE,3212  LEEDS ST,LITTLE ROCK,AR,72204,34.722046,-92.329309,"(34.722046, -92.329309)"
08/29/2021 08:33:00 AM,2021-104991,42.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,2500 E 12TH ST,LITTLE ROCK,AR,72206,34.735395,-92.248275,"(34.735395, -92.248275)"
08/27/2021 02:00:00 AM,2021-103919,54.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,4408 W 28TH ST,LITTLE ROCK,AR,72204,34.72628,-92.323415,"(34.72628, -92.323415)"
08/16/2021 07:28:00 PM,2021-098972,53.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,3519 W 18TH ST,LITTLE ROCK,AR,72204,34.734628,-92.313594,"(34.734628, -92.313594)"
08/14/2021 07:45:00 PM,2021-098065,63.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,9209  LABETTE DR,LITTLE ROCK,AR,72204,34.735796,-92.376972,"(34.735796, -92.376972)"
07/31/2021 01:21:00 AM,2021-090974,71.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,13500 CHENAL PKY,LITTLE ROCK,AR,72211,34.756205,-92.425093,"(34.756205, -92.425093)"
07/25/2021 01:10:00 AM,2021-088060,61.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,MOTOR VEHICLE,1401 JOHN BARROW RD,LITTLE ROCK,AR,72204,34.739988,-92.371979,"(34.739988, -92.371979)"
07/21/2021 04:09:00 PM,2021-086410,42.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,UNKNOWN,3201 BANKHEAD DR,LITTLE ROCK,AR,72204,34.714268,-92.222145,"(34.714268, -92.222145)"
07/18/2021 09:12:00 PM,2021-085137,91.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,FIREARM,10001  MABELVALE PLAZA DR,LITTLE ROCK,AR,72209,34.669077,-92.378737,"(34.669077, -92.378737)"
07/17/2021 03:59:00 PM,2021-084616,60.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,9120 N RODNEY PARHAM RD,LITTLE ROCK,AR,72227,34.759296,-92.37602,"(34.759296, -92.37602)"
07/16/2021 05:30:00 PM,2021-084176,92.0,09A,MURDER & NONNEGLIGENT MANSLAUGHTER,HANDGUN,10900 BASS PRO PKY,LITTLE ROCK,AR,72210,34.663759,-92.406593,"(34.663759, -92.406593)"
